id,lat,lng,text
928641173232664577,14.683012,121.0627355,''GAGO SAKSES MATUTULOG NAKO BALANA MIDTERMS KO https://t.co/5TaH8hdBsC''
928642324996878336,14.5847555,121.0392605,''🙏 https://t.co/GN6TQgY21O''
928652916272926720,14.4304565,120.9695015,''anuna HAHA https://t.co/uygQOL1YG7''
928652165198987265,14.7108935,121.0311415,''Mag eenroll pa naman sana ako bukas!! 😭😭😭 https://t.co/BH19Eyd7NW''
928641683369029633,14.683012,121.0627355,''Ate Biv @LoQueSoy_Biv and pamangkins 😃😃 https://t.co/NnjEr3mU0w''
928653620198776833,14.683012,121.0627355,''yEheeez https://t.co/04J0rgJ3ty''
928642744431525889,14.6067175,121.1242275,''Naysu https://t.co/Rfa6KBkGeO''
928641233190137856,14.5328815,121.0069495,''THANK GOD!💖 https://t.co/jBw3r6hMue''
928645081732587520,14.4304565,120.9695015,''@CEUmanila anuna https://t.co/dpRzZvZoxe''
928646762960580608,14.5914565,120.9839865,''Yes! walang consultation haha https://t.co/B5GvqFIkRe''
928642510569615362,14.712613,120.9756555,''Keep safe everyone!! 💯 https://t.co/FU72dTnmNB''
928655666008358912,14.5847555,121.0392605,''nakakatouch naman pu https://t.co/DrpGAPlN3f''
928650601713475584,13.3382755,121.184074,''HOYYYY STAY SAFE MGA CALAPEÑO!! #SalomePH https://t.co/LGvGNTCxAa''
928681614896349185,14.5914565,120.9839865,''Nakakamiss din https://t.co/xRGir5ExFt''
928642792682807298,14.683012,121.0627355,"''#WalangPasok PUBLIC ADVISORY. Classes in all levels, public and private, in the City of Manila, have been SUSPENDED… https://t.co/7U4V67NRWp''"
928650594629406721,14.5914565,120.9839865,''#WALANGPASOK https://t.co/ttZ85r0Agk''
928644794166870016,14.5914565,120.9839865,''Before suspension: Oi ano na mayor tagal mo nmn mag suspend After suspension: lodi ka mayor  #WalangPasok''
928645558838816768,14.683012,121.0627355,''STAY SAFE AND DRY MGA FRIENDSHIPSSS https://t.co/rIAlf2x66B''
928641811802865664,14.5914565,120.9839865,''Smeg sem is cancelledt lol stay safe frens https://t.co/cvSx2JcbJu''
928645527977189376,14.683012,121.0627355,''Anuna Manila? Suspended ba? Para alam ko kung gagawa na ako ng report kay sir Fabian o hindi https://t.co/1rTr0imcy6''
928655085466349569,14.5914565,120.9839865,''Thank you https://t.co/owC4qXOAPC''
928647703373811714,14.5914565,120.9839865,''Gawaan na ng grades at bigayan na ng cards sa monday! Tapos biglang #WalangPasok bukas? So pano na? Kakabayuhin na naman ba natin ito?😑😑😑😑😑''
928673047678107653,14.483414,121.010803,''Magbunyi!!! https://t.co/wdxhUXvscZ''
928649402394165248,14.683012,121.0627355,''Pasig: the baha-free city https://t.co/PMEbAKf7Wu''
928642894381977601,14.5914565,120.9839865,''BOOM!!! YAAAAS HAHAHAHAHA https://t.co/8V0DIY73yQ''
928641533078679552,14.5914565,120.9839865,''Just when I started praying for no suspension gi suspend. Maayo jud ka Tito Erap #WalangPasok''
